# m1[Msun], m2[Msun], f_gw[Hz], inclination[rad], x_gal[kpc], y_gal[kpc], z_gal[kpc], Pala_reassigned
0.6992306294,0.1078373342,0.0003383621,0.9912203183,-8.2432098569,-0.0029592224,0.4246048194,0.0000000000
0.6985989713,0.1116402527,0.0003287471,1.2688255866,-8.1994238072,0.4378471849,-0.0116539567,0.0000000000
0.7015486301,0.0930573567,0.0003655524,2.0101051834,-8.0809194010,0.2156048935,0.2180888065,0.0000000000
0.6995329249,0.1157726198,0.0003233046,0.2891917538,-8.4392926885,-0.2839266509,-0.0157592027,0.0000000000
0.6977987486,0.0966966024,0.0003549881,0.3028906170,-8.0883735130,-0.0671372615,0.4860781279,0.0000000000
0.7003732694,0.1410041064,0.0002880372,1.8332248656,-8.1735263791,-0.3380700265,-0.0013131801,0.0000000000
0.7008169076,0.2000763304,0.0002447393,1.3440196393,-7.8572869334,-0.3156264337,0.2624976674,0.0000000000
0.7003438481,0.1444928645,0.0002851436,1.0529930625,-8.2788185559,-0.2309224434,0.1557689143,0.0000000000
0.7005439445,0.2208012285,0.0001643810,0.8520169483,-7.9319013452,-0.1648310178,0.0767427465,0.0000000000
0.7018862025,0.1167049681,0.0003233194,1.1243941246,-8.2874723129,0.0515500828,-0.3034619193,0.0000000000
0.7005779902,0.0412348447,0.0004280412,1.6156653031,-8.0907820455,0.0974880575,0.2590648170,0.0000000000
0.6990394625,0.0398948743,0.0004279911,2.8154962715,-7.6741861575,-0.0382997557,-0.0437828448,0.0000000000
0.7006269894,0.0410877892,0.0004143735,0.1802842999,-8.0917521372,0.4929025071,0.0796999635,0.0000000000
0.7011472844,0.0797788592,0.0003878481,0.9398906121,-8.3810042941,0.0991185799,0.2399102110,0.0000000000
0.6985714977,0.0632835390,0.0004037385,2.2121062117,-8.1089130079,0.4757486168,-0.0595472005,0.0000000000
0.7005355381,0.1360717075,0.0002963863,1.2994623998,-8.3462607514,0.0785694261,-0.0284165138,0.0000000000
0.6995158989,0.0387928934,0.0004157656,0.9172637493,-8.5160541321,-0.0602527125,0.1805131957,0.0000000000
0.6991307515,0.0539987734,0.0004028698,1.2478018353,-7.9883795598,-0.1121940265,-0.2591773988,0.0000000000
0.7010553885,0.1588313710,0.0002722314,1.4800174909,-7.9618625390,-0.2346056547,0.1711948546,0.0000000000
0.6977943155,0.3368190208,0.0001376799,1.4924967582,-7.9236566622,-0.2696823240,0.0271485247,0.0000000000
0.6986043773,0.1995424523,0.0001766374,1.7716944492,-7.9629332373,-0.2919517014,-0.0381376136,0.0000000000
0.7004116346,0.1329626035,0.0002986671,1.0582797279,-7.8033961451,0.0692166920,0.0561853934,0.0000000000
0.7001738290,0.1059196441,0.0003396699,1.2896253125,-7.7011474257,0.0828189230,-0.0780699981,0.0000000000
0.7004093458,0.0829710097,0.0003829783,0.9951401882,-8.2107909857,0.3804919245,0.1669157948,0.0000000000
0.6991707143,0.1165866425,0.0003201847,2.3954149815,-7.8228867932,-0.1367409658,-0.2554131650,0.0000000000
0.6995318204,0.0406798799,0.0004182663,2.2251418561,-8.2215575780,-0.1941894743,0.1699822911,0.0000000000
0.7011106772,0.0867559988,0.0003799104,1.7096438891,-8.5309573140,-0.1235170115,0.0362104556,0.0000000000
0.7002427767,0.1147478523,0.0003243545,0.2679517113,-8.1532355436,-0.0577710070,0.4130322308,0.0000000000
0.6991244834,0.3311942257,0.0001386371,0.8805988220,-7.8795574075,-0.2204568121,0.2040354917,0.0000000000
0.6997488035,0.1371744741,0.0002937634,0.9486359242,-8.0659316262,-0.1186747582,0.0329187935,1.0000000000
0.7003287102,0.0699276660,0.0003971683,0.4559370469,-8.2403881545,0.2572883730,0.0659296750,0.0000000000
0.6993441762,0.0397857760,0.0004168325,1.3444236680,-7.7306804279,-0.1497424814,0.0790128468,0.0000000000
0.7004379622,0.1081265764,0.0003360263,1.5505118601,-7.9806926703,0.2383390456,-0.3183412607,0.0000000000
0.6996158327,0.2211607394,0.0001645785,1.0898499504,-8.1103306462,-0.4220892530,-0.0496196164,0.0000000000
